country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","08-03-2025 22:00:00",30.751462,76.762879,CO,16,37,22
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","08-03-2025 22:00:00",22.08815,82.13737,NO2,18,26,22
India,Delhi,Delhi,"Bawana, Delhi - DPCC","08-03-2025 22:00:00",28.776200,77.051074,NH3,5,7,6
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","08-03-2025 22:00:00",28.710508,77.249485,CO,40,112,87
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","08-03-2025 22:00:00",28.531346,77.190156,NH3,5,7,6
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","08-03-2025 22:00:00",28.672342,77.315260,NH3,2,5,4
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","08-03-2025 22:00:00",28.672342,77.315260,SO2,13,26,19
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","08-03-2025 22:00:00",28.699793,77.165453,PM2.5,NA,NA,NA
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","08-03-2025 22:00:00",28.699793,77.165453,NH3,8,15,11
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","08-03-2025 22:00:00",23.107969,72.574648,NO2,9,104,44
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","08-03-2025 22:00:00",23.107969,72.574648,CO,26,128,61
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","08-03-2025 22:00:00",28.636429,77.201067,SO2,6,18,13
India,Delhi,Delhi,"Mundka, Delhi - DPCC","08-03-2025 22:00:00",28.684678,77.076574,CO,6,84,28
India,Delhi,Delhi,"Mundka, Delhi - DPCC","08-03-2025 22:00:00",28.684678,77.076574,OZONE,5,86,57
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","08-03-2025 22:00:00",28.60909,77.0325413,PM2.5,33,205,88
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","08-03-2025 22:00:00",28.60909,77.0325413,NO2,7,37,22
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","08-03-2025 22:00:00",28.60909,77.0325413,SO2,12,18,14
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","08-03-2025 22:00:00",28.60909,77.0325413,OZONE,14,43,31
India,Delhi,Delhi,"Narela, Delhi - DPCC","08-03-2025 22:00:00",28.822836,77.101981,PM2.5,38,376,156
India,Delhi,Delhi,"Narela, Delhi - DPCC","08-03-2025 22:00:00",28.822836,77.101981,NH3,7,9,8
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","08-03-2025 22:00:00",28.732820,77.170633,PM10,88,304,185
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","08-03-2025 22:00:00",28.732820,77.170633,NH3,5,12,10
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","08-03-2025 22:00:00",28.580280,77.233829,PM10,56,199,123
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","08-03-2025 22:00:00",28.580280,77.233829,CO,8,120,30
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","08-03-2025 22:00:00",28.580280,77.233829,OZONE,13,98,58
India,Delhi,Delhi,"Lodhi Road, Delhi - IITM","08-03-2025 22:00:00",28.588333,77.221667,PM10,51,167,113
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","08-03-2025 22:00:00",28.611281,77.237738,CO,6,106,46
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD","08-03-2025 22:00:00",28.6573814,77.1585447,OZONE,4,117,57
